Frame,Convergence values
11,0.540521884
12,0.402661429
13,0.521577479
14,0.503936329
15,0.489203387
16,0.46176399
17,0.457497972
18,0.476747986
19,0.322438659
20,0.483392472
21,0.3
22,0.341756671
23,0.382665255
24,0.300308034
25,0.282473779
26,0.02
27,0.08
28,0.35
29,0.06
30,0.05
31,0.09
32,0.02
33,0.08
34,0.06
35,0.02
36,0.001
37,0.003
38,0.07
39,0.15258875
40,0.188626818
41,0.188822289
42,0.06
43,0.005
44,0.003
45,0.052
46,0.107
47,0.162
48,0.217
49,0.02
50,0.001
51,0.09
52,0.03
53,0.01
54,0.05
55,0.11
56,0.17
57,0.01
58,0.015
59,0.031
60,0.047
61,0.063
62,0.079
63,0.009
64,0.009
65,0.09
66,0.04
67,0.09
68,0.1
69,0.03
70,0.05
71,0.06
72,0.09
73,0.04
74,0.06
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0.09
86,0
87,0.04
88,0.1
89,0.11
90,0.099547512
91,0.24270737
92,0.21044378
93,0.126025625
94,0.128912043
95,0.161021351
96,0.118238755
97,0.113097569
98,0.141351554
99,0.03
100,0.01
101,0.06
102,0.03
103,0.03
104,0.06
105,0.09
106,0.03
107,0.02
108,0.01
109,0.03
110,0.04
111,0.05
112,0.04
113,0.04
114,0.04
115,0.04
116,0.08
117,0.02
118,0.07
119,0.04
120,0.07
121,0.04
122,0.04
123,0.01
124,0.02
125,0.1
126,0.05
127,0.01
128,0.09
129,0.02
130,0.01
131,0.009
132,0.003
133,0.001
134,0.006
135,0.007
136,0.009
137,0.008
138,0.004
139,0.006
140,0.009
141,0.02
142,0.09
143,0.01
144,0.07
145,0.06
146,0.08
147,0.1
148,0.03
149,0.01
150,0.1
151,0.03
152,0.1
153,0.06
154,0.1
155,0.0006
156,0.002
157,0.006
158,0.001
159,0.004
160,0.004
161,0.006
162,0.009
163,0.004
164,0.19288237
165,0.169968767
166,0.205485384
167,0.13
168,0.01
169,0
170,0.004
171,0.0005
172,0.006
173,0.0006
174,0.0005
175,0.0004
176,0.1
177,0.002
178,0.09
179,0.006
180,0.08
181,0.02
182,0.02
183,0.02
184,0.02
185,0.009
186,0.01
187,0.02
188,0.04
189,0.03
190,0.12
191,0.11
192,0.1
193,0.07
194,0.09
195,0.08
196,0.06
197,0.02
198,0.02
199,0.02
200,0
201,0.01023
202,0.0102
203,0.012
204,0.023
205,0.012
206,0.012
207,0.0123
208,0.012
209,0.001
210,0.012
211,0.023
212,0.012
213,0
214,0.003
215,0.002
216,0.006
217,0.009
218,0.003
219,0.004
220,0.008
221,0.02
222,0.1
223,0.02
224,0.03
225,0.006
226,0.002
227,0.002
228,0.009
229,0.01
230,0.003
231,0
232,0.01
233,0
234,0.01
235,0.07
236,0.09
237,0
238,0.01
239,0.09
240,0.1
241,0.1
242,0.012
243,0.01
244,0.0018
245,0.00161
246,0.001912
247,0.018
248,0.007
249,0.01
250,0.03
251,0.01
252,0.02
253,0.06
254,0.04
255,0.006
256,0.003
257,0.002
258,0.004
259,0.006
260,0.003
261,0.002
262,0.02
263,0.005
264,0.002
265,0.01
266,0.01
267,0.01
268,0.01
269,0.01
270,0.01
271,0.01
272,0.01
273,0.01
274,0.01
275,0.01
276,0.04
277,0
278,0.02
279,0.003
280,0.002
281,0.001
282,0.005
283,0.007
284,0.014
285,0.012
286,0.003
287,0.008
288,0.004
289,0.006
290,0.01
291,0.01
292,0.009
293,0.004
294,0.008
295,0.02
296,0.03
297,0.004
298,0.001
299,0.025
300,0.02
301,0.01
302,0.03
303,0.07
304,0.06
305,0.06
306,0.05
307,0.01
308,0.01
309,0.003
310,0.01
311,0.001
312,0.003
313,0.006
314,0.004
315,0.009
316,0.004
317,0.005
318,0.01
319,0
320,0.006
321,0.008
322,0.007
323,0.006
324,0.001
325,0.007
326,0.008
327,0.03
328,0.03
329,0.01
330,0.01
331,0.05
332,0.006
333,0.008
334,0.0004
335,0.006
336,0.004
337,0.005
338,0.001
339,0.003
340,0.0002
341,0.006
342,0.001
343,0.003
344,0
345,0.02
346,0.02
347,0.04
348,0.01
349,0.01
350,0.03
351,0.002
352,0.001
353,0.02
354,0.03
355,0.002
356,0.03
357,0.03
358,0.006
359,0.004
360,0.008
361,0.009
362,0.005
363,0.005
364,0.004
365,0.006
366,0.007
367,0.004
368,0.002
369,0.001
370,0.006
371,0.009
372,0.008
373,0.007
374,0.006
375,0.013
376,0.014
377,0.013
378,0.0103
379,0.0105
380,0.01142
381,0.01413
382,0.0023
383,0.012
384,0.0056
385,0.0045
386,0.0096
387,0.0089
388,0.001
389,0.0032
390,0.0013
391,0.0014
392,0.0056
393,0.0046
394,0.0013
395,0.0014
396,0.0015
397,0.0018
398,0.0089
399,0
400,0.002
401,0
402,0.001
403,0.002
404,0.003
405,0.002
406,0.005
407,0.0001
408,0.004
409,0.002
410,0.002
411,0.006
412,0.02
413,0.0105
414,0
415,0.006
416,0.006
417,0.0009
418,0.0056
419,0.01002
420,0.0143
421,0.0135
422,0.0204
423,0
424,0.02
425,0.00026
426,0.0048
427,0.0096
428,0.0048
429,0.0107
430,0.01234
431,0.01022
432,0.0036
433,0.0056
434,0.0048
435,0.0052
436,0.0013
437,0.0003
438,0.0045
439,0.0052
440,0.02
441,0.03
442,0
443,0
444,0.005
445,0.02
446,0.01
447,0.03
448,0
449,0
450,0
451,0.02
452,0.01
453,0.0136
454,0.02
455,0
456,0
457,0.002
458,0.006
459,0.0056
460,0
461,0.0036
462,0.0075
463,0.0078
464,0.0059
465,0.0049
466,0.00059
467,0.001
468,0.0031
469,0.0061
470,0.0013
471,0.0026
472,0.0036
473,0.0019
474,0.0026
475,0.005
476,0.0046
477,0.0042
478,0.0026
479,0.0018
480,0.0019
481,0.0052
482,0.0012
483,0.0018
484,0.0019
485,0.0021
486,0.0063
487,0.00301
488,0.0021
489,0.0043
490,0.00231
491,0.0061
492,0.001
493,0.0021
494,0.003
495,0.0026
496,0.0032
497,0.0062
498,0.0061
499,0.0025
500,0.0032
501,0.0021
502,0.0063
503,0.0105
504,0.01142
505,0.01413
506,0.0023
507,0.012
508,0.0056
509,0.0045
510,0.0096
511,0.0089
512,0.003
513,0.0023
514,0.0036
515,0.0045
516,0.0062
517,0.0052
518,0.0021
519,0.0041
520,0.0028
521,0.0027
522,0.0031
523,0.0062
524,0.0016
525,0.0042
526,0.0093
527,0.0092
528,0.0091
529,0.009
530,0.0089
531,0.0088
532,0
533,0.0036
534,0.0026
535,0.0059
536,0.0048
537,0.0041
538,0.0026
539,0.0016
540,0.0014
541,0.0016
542,0.0092
543,0.001
544,0.0011
545,0.0021
546,0.014
547,0.015
548,0.0025
549,0.0029
550,0.0026
551,0.0045
552,0.0013
553,0.0023
554,0.003
555,0.0032
556,0.0026
557,0.0015
558,0.0045
559,0.0043
560,0.0084
561,0.0059
562,0.0061
563,0.0063
564,0.007
565,0.009
566,0.001
567,0.0056
568,0.0091
569,0.0056
570,0.0048
571,0.002
572,0.0152
573,0.0104
574,0.00231
575,0.001
576,0
577,0.00026
578,0.0048
579,0.0096
580,0.0048
581,0.0107
582,0.01234
583,0.01022
584,0.0036
585,0.0056
586,0.0048
587,0.0052
588,0.0013
589,0.0003
590,0.0045
591,0.0052
592,0.02
593,0
594,0.0056
595,0.0045
596,0.0026
597,0.0026
598,0.0031
599,0.0036
600,0.0065
601,0.003
602,0.004
603,0.0013
604,0.003
605,0.005
606,0.002
607,0.0013
608,0.0032
609,0.0062
610,0.0061
611,0.0025
612,0.0032
613,0.0021
614,0.0063
615,0.0105
616,0.01142
617,0.01413
618,0.0023
619,0.012
620,0.0056
621,0.0045
622,0.0096
623,0
624,0.0036
625,0.0096
626,0.0045
627,0.0047
628,0.0047
629,0.0014
630,0.0025
631,0.0036
632,0.0015
633,0.0016
634,0.0024
635,0.0016
636,0.0026
637,0.0042
638,0.0063
639,0.0015
640,0.0036
641,0.0056
642,0.0026
643,0.0042
644,0.0096
645,0.012
646,0.0203
647,0.0205
648,0.01004
649,0.0042
650,0.01002
651,0.0056
652,0.0043
653,0.0061
654,0.0043
655,0.0103
656,0.0104
657,0.01022
658,0.0062
659,0.0042
660,0.0031
661,0.0035
662,0.0043
663,0.0082
664,0.0072
665,0.0041
666,0.01032
667,0.010253
668,0
669,0
670,0.0105
671,0.012
672,0.001
673,0.013
674,0
675,0.0023
676,0
677,0.012
678,0.01
679,0.0136
680,0.012
681,0.00013
682,0
683,0.01
684,0.003
685,0.012
686,0
687,0.0048
688,0.0107
689,0.01234
690,0
691,0.0023
692,0
693,0.01
694,0.014
695,0.0103
696,0
697,0.0048
698,0.0107
699,0.01234
700,0
701,0.0023
702,0.0013
703,0.0026
704,0.0024
705,0.0031
706,0.001
707,0.0121
708,0.00231
709,0.01
710,0.01
711,0.006
712,0.001
713,0.001
714,0.002
715,0.0026
716,0.0042
717,0.0014
718,0.01
719,0.003
720,0.003
721,0.0047
722,0.0014
723,0.0025
724,0.0036
725,0.0015
726,0.0016
727,0.0024
728,0.0016
729,0.0026
730,0.003
731,0.003
732,0.0026
733,0.0015
734,0.00354
735,0.0026
736,0.0041
737,0.0026
738,0.0031
739,0.0021
740,0.0029
741,0.0032
742,0.0012
743,0.0017
744,0.0022
745,0.0027
746,0.0032
747,0
748,0.014
749,0.02
750,0.03
751,0.03
752,0.003
753,0.003
754,0.003
755,0.003
756,0.002
757,0.002
758,0.0106
759,0.0104
760,0.0102
761,0.01
762,0.0098
763,0.0096
764,0.0094
765,0
766,0.005
767,0.00102
768,0
769,0.008
770,0.0103
771,0.0107
772,0.005
773,0.005
774,0.005
775,0.0013
776,0.003
777,0.005
778,0.002
779,0.0013
780,0.0032
781,0.00104
782,0.007
783,0.0014
784,0.001
785,0
786,0.008
787,0.0102
788,0.0013
789,0.003
790,0.005
791,0.002
792,0.0013
793,0.0032
794,0
795,0.0025
796,0.0056
797,0.00125
798,0.00105
799,0.00205
800,0.00105
801,0.005
802,0.0035
803,0.005
804,0.00125
805,0.00135
806,0.005
807,0.00125
808,0.0025
809,0.00625
810,0.001
811,0.001375
812,0.00175
813,0.005
814,0.0021
815,0.0032
816,0.0026
817,0.0021
818,0.0026
819,0.0032
820,0.007
821,0.004
822,0.002
823,0.0036
824,0.004
825,0.005
826,0.0026
827,0.001
828,0.0032
829,0.0008
830,0.0016
831,0.004
832,0.0064
833,0.0088
834,0.0112
835,0.0136
836,0.016
837,0.005
838,0.005
839,0.0074
840,0.0098
841,0.00122
842,0.00146
843,0.0017
844,0.00194
845,0.00218
846,0.00242
847,0.00266
848,0.0029
849,0.00314
850,0.003
851,0.005
852,0.002
853,0.0013
854,0.0032
855,0.0052
856,0.0072
857,0.0092
858,0.00112
859,0.000132
860,0.0052
861,0.0072
862,0.0092
863,0.0012
864,0.00232
865,0.00252
866,0.00272
867,0.00292
868,0.00312
869,0.00332
870,0.00352
871,0.00372
872,0.00392
873,0.00412
874,0.00432
875,0.00452
876,0.005
877,0.005
878,0.0052
879,0.0054
880,0.0056
881,0.0058
882,0.0046
883,0.00262
884,0.00264
885,0.00266
886,0.00168
887,0.0027
888,0.00372
889,0.00174
890,0.00276
891,0.00278
892,0.0018
893,0.00082
894,0.00184
895,0.0086
896,0.00188
897,0.009
898,0.0092
899,0.0094
900,0.0096
901,0.0098
902,0.0001
903,0.0015
904,0.000105
905,0.00105
906,0.005
907,0.00105
908,0.0015
909,0.002445
910,0.00339
911,0.004335
912,0.00528
913,0.006225
914,0.00717
915,0.008115
916,0.00906
917,0.00150005
918,0.0012095
919,0.0011895
920,0.001284
921,0.0013785
922,0.001473
923,0.0015675
924,0.0001662
925,0.00017565
926,0.001851
927,0.00019455
928,0.00204
929,0.0021345
930,0.0012229
931,0.000123235
932,0.002418
933,0.00125125
934,0.0012607
935,0.00027015
936,0.0002796
937,0.002574365
938,0.00486913
939,0.007163895
940,0.00945866
941,0.000117534
942,0.001404819
943,0.001634296
944,0.0027
945,0.0017
946,0.001
947,0.0021
948,0.00107
949,0.005
950,0.003
951,0.002
952,0.0013
953,0.0006
954,0.0023
955,0.0026
956,0.0015
957,0.0022
958,0.0029
959,0.0021
960,0.0036
961,0.005
962,0.0057
963,0.0064
964,0.0071
965,0.0081
966,0.0085
967,0.0092
968,0.0099
969,0.00106
970,0.0021
971,0.0012
972,0.0016
973,0.002
974,0.0024
975,0.0028
976,0.0032
977,0.0036
978,0.004
979,0.0044
980,0.0048
981,0.0052
982,0.0056
983,0.006
984,0.0064
985,0.0068
986,0.0072
987,0.0076
988,0.008
989,0.0084
990,0.0088
991,0.002
992,0.0096
993,0.0023
994,0.001
995,0.00108
996,0.00012
997,0.00016
998,0
999,0.00104
1000,0.0001
